England and Wales Code,England and Wales,Passports held (18 categories) Code,Passports held (18 categories),Highest level of qualification (8 categories) Code,Highest level of qualification (8 categories),Observation
K04000001,England and Wales,9,Middle East and Asia: Eastern Asia,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",4231
K04000001,England and Wales,9,Middle East and Asia: Eastern Asia,2,"Level 2 qualifications: 5 or more GCSEs (A* to C or 9 to 4), O levels (passes), CSEs (grade 1), School Certification, 1 A level, 2 to 3 AS levels, VCEs, Intermediate or Higher Diploma, Welsh Baccalaureate Intermediate Diploma, NVQ level 2, Intermediate GNVQ, City and Guilds Craft, BTEC First or General Diploma, RSA Diploma",3730
K04000001,England and Wales,9,Middle East and Asia: Eastern Asia,3,Apprenticeship,2402
K04000001,England and Wales,9,Middle East and Asia: Eastern Asia,4,"Level 3 qualifications: 2 or more A levels or VCEs, 4 or more AS levels, Higher School Certificate, Progression or Advanced Diploma, Welsh Baccalaureate Advance Diploma, NVQ level 3; Advanced GNVQ, City and Guilds Advanced Craft, ONC, OND, BTEC National, RSA Advanced Diploma",8603
K04000001,England and Wales,9,Middle East and Asia: Eastern Asia,5,"Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",80934
K04000001,England and Wales,9,Middle East and Asia: Eastern Asia,6,"Other: vocational or work-related qualifications, other qualifications achieved in England or Wales, qualifications achieved outside England or Wales (equivalent not stated or unknown)",5959
K04000001,England and Wales,10,Middle East and Asia: Southern Asia,-8,Does not apply,83557
K04000001,England and Wales,10,Middle East and Asia: Southern Asia,0,No qualifications,146468
K04000001,England and Wales,10,Middle East and Asia: Southern Asia,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",56052
K04000001,England and Wales,10,Middle East and Asia: Southern Asia,2,"Level 2 qualifications: 5 or more GCSEs (A* to C or 9 to 4), O levels (passes), CSEs (grade 1), School Certification, 1 A level, 2 to 3 AS levels, VCEs, Intermediate or Higher Diploma, Welsh Baccalaureate Intermediate Diploma, NVQ level 2, Intermediate GNVQ, City and Guilds Craft, BTEC First or General Diploma, RSA Diploma",32760
K04000001,England and Wales,10,Middle East and Asia: Southern Asia,3,Apprenticeship,11680
K04000001,England and Wales,10,Middle East and Asia: Southern Asia,4,"Level 3 qualifications: 2 or more A levels or VCEs, 4 or more AS levels, Higher School Certificate, Progression or Advanced Diploma, Welsh Baccalaureate Advance Diploma, NVQ level 3; Advanced GNVQ, City and Guilds Advanced Craft, ONC, OND, BTEC National, RSA Advanced Diploma",34062
K04000001,England and Wales,10,Middle East and Asia: Southern Asia,5,"Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",271294
K04000001,England and Wales,10,Middle East and Asia: Southern Asia,6,"Other: vocational or work-related qualifications, other qualifications achieved in England or Wales, qualifications achieved outside England or Wales (equivalent not stated or unknown)",38707
K04000001,England and Wales,11,Middle East and Asia: South-East Asia,-8,Does not apply,8429
K04000001,England and Wales,11,Middle East and Asia: South-East Asia,0,No qualifications,18304
K04000001,England and Wales,11,Middle East and Asia: South-East Asia,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",7865
K04000001,England and Wales,11,Middle East and Asia: South-East Asia,2,"Level 2 qualifications: 5 or more GCSEs (A* to C or 9 to 4), O levels (passes), CSEs (grade 1), School Certification, 1 A level, 2 to 3 AS levels, VCEs, Intermediate or Higher Diploma, Welsh Baccalaureate Intermediate Diploma, NVQ level 2, Intermediate GNVQ, City and Guilds Craft, BTEC First or General Diploma, RSA Diploma",6568
K04000001,England and Wales,11,Middle East and Asia: South-East Asia,3,Apprenticeship,2375
K04000001,England and Wales,11,Middle East and Asia: South-East Asia,4,"Level 3 qualifications: 2 or more A levels or VCEs, 4 or more AS levels, Higher School Certificate, Progression or Advanced Diploma, Welsh Baccalaureate Advance Diploma, NVQ level 3; Advanced GNVQ, City and Guilds Advanced Craft, ONC, OND, BTEC National, RSA Advanced Diploma",9382
K04000001,England and Wales,11,Middle East and Asia: South-East Asia,5,"Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",64448
K04000001,England and Wales,11,Middle East and Asia: South-East Asia,6,"Other: vocational or work-related qualifications, other qualifications achieved in England or Wales, qualifications achieved outside England or Wales (equivalent not stated or unknown)",5741
K04000001,England and Wales,12,Middle East and Asia: Central Asia,-8,Does not apply,603
K04000001,England and Wales,12,Middle East and Asia: Central Asia,0,No qualifications,349
K04000001,England and Wales,12,Middle East and Asia: Central Asia,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",137
K04000001,England and Wales,12,Middle East and Asia: Central Asia,2,"Level 2 qualifications: 5 or more GCSEs (A* to C or 9 to 4), O levels (passes), CSEs (grade 1), School Certification, 1 A level, 2 to 3 AS levels, VCEs, Intermediate or Higher Diploma, Welsh Baccalaureate Intermediate Diploma, NVQ level 2, Intermediate GNVQ, City and Guilds Craft, BTEC First or General Diploma, RSA Diploma",180
K04000001,England and Wales,12,Middle East and Asia: Central Asia,3,Apprenticeship,76
K04000001,England and Wales,12,Middle East and Asia: Central Asia,4,"Level 3 qualifications: 2 or more A levels or VCEs, 4 or more AS levels, Higher School Certificate, Progression or Advanced Diploma, Welsh Baccalaureate Advance Diploma, NVQ level 3; Advanced GNVQ, City and Guilds Advanced Craft, ONC, OND, BTEC National, RSA Advanced Diploma",285
K04000001,England and Wales,12,Middle East and Asia: Central Asia,5,"Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",2600
K04000001,England and Wales,12,Middle East and Asia: Central Asia,6,"Other: vocational or work-related qualifications, other qualifications achieved in England or Wales, qualifications achieved outside England or Wales (equivalent not stated or unknown)",185
K04000001,England and Wales,13,The Americas and the Caribbean: North America,-8,Does not apply,19600
K04000001,England and Wales,13,The Americas and the Caribbean: North America,0,No qualifications,12105
K04000001,England and Wales,13,The Americas and the Caribbean: North America,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",3287
K04000001,England and Wales,13,The Americas and the Caribbean: North America,2,"Level 2 qualifications: 5 or more GCSEs (A* to C or 9 to 4), O levels (passes), CSEs (grade 1), School Certification, 1 A level, 2 to 3 AS levels, VCEs, Intermediate or Higher Diploma, Welsh Baccalaureate Intermediate Diploma, NVQ level 2, Intermediate GNVQ, City and Guilds Craft, BTEC First or General Diploma, RSA Diploma",5944
K04000001,England and Wales,13,The Americas and the Caribbean: North America,3,Apprenticeship,1738
K04000001,England and Wales,13,The Americas and the Caribbean: North America,4,"Level 3 qualifications: 2 or more A levels or VCEs, 4 or more AS levels, Higher School Certificate, Progression or Advanced Diploma, Welsh Baccalaureate Advance Diploma, NVQ level 3; Advanced GNVQ, City and Guilds Advanced Craft, ONC, OND, BTEC National, RSA Advanced Diploma",10190
K04000001,England and Wales,13,The Americas and the Caribbean: North America,5,"Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",92327
K04000001,England and Wales,13,The Americas and the Caribbean: North America,6,"Other: vocational or work-related qualifications, other qualifications achieved in England or Wales, qualifications achieved outside England or Wales (equivalent not stated or unknown)",6511
K04000001,England and Wales,14,The Americas and the Caribbean: Central and South America,-8,Does not apply,11752
K04000001,England and Wales,14,The Americas and the Caribbean: Central and South America,0,No qualifications,24380
K04000001,England and Wales,14,The Americas and the Caribbean: Central and South America,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",12010
K04000001,England and Wales,14,The Americas and the Caribbean: Central and South America,2,"Level 2 qualifications: 5 or more GCSEs (A* to C or 9 to 4), O levels (passes), CSEs (grade 1), School Certification, 1 A level, 2 to 3 AS levels, VCEs, Intermediate or Higher Diploma, Welsh Baccalaureate Intermediate Diploma, NVQ level 2, Intermediate GNVQ, City and Guilds Craft, BTEC First or General Diploma, RSA Diploma",9713
K04000001,England and Wales,14,The Americas and the Caribbean: Central and South America,3,Apprenticeship,6827
K04000001,England and Wales,14,The Americas and the Caribbean: Central and South America,4,"Level 3 qualifications: 2 or more A levels or VCEs, 4 or more AS levels, Higher School Certificate, Progression or Advanced Diploma, Welsh Baccalaureate Advance Diploma, NVQ level 3; Advanced GNVQ, City and Guilds Advanced Craft, ONC, OND, BTEC National, RSA Advanced Diploma",12812
K04000001,England and Wales,14,The Americas and the Caribbean: Central and South America,5,"Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",54417
K04000001,England and Wales,14,The Americas and the Caribbean: Central and South America,6,"Other: vocational or work-related qualifications, other qualifications achieved in England or Wales, qualifications achieved outside England or Wales (equivalent not stated or unknown)",6636
K04000001,England and Wales,15,"Antarctica and Oceania, including Australasia",-8,Does not apply,4054
K04000001,England and Wales,15,"Antarctica and Oceania, including Australasia",0,No qualifications,3847
K04000001,England and Wales,15,"Antarctica and Oceania, including Australasia",1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",2198
K04000001,England and Wales,15,"Antarctica and Oceania, including Australasia",2,"Level 2 qualifications: 5 or more GCSEs (A* to C or 9 to 4), O levels (passes), CSEs (grade 1), School Certification, 1 A level, 2 to 3 AS levels, VCEs, Intermediate or Higher Diploma, Welsh Baccalaureate Intermediate Diploma, NVQ level 2, Intermediate GNVQ, City and Guilds Craft, BTEC First or General Diploma, RSA Diploma",3650
K04000001,England and Wales,15,"Antarctica and Oceania, including Australasia",3,Apprenticeship,1924
K04000001,England and Wales,15,"Antarctica and Oceania, including Australasia",4,"Level 3 qualifications: 2 or more A levels or VCEs, 4 or more AS levels, Higher School Certificate, Progression or Advanced Diploma, Welsh Baccalaureate Advance Diploma, NVQ level 3; Advanced GNVQ, City and Guilds Advanced Craft, ONC, OND, BTEC National, RSA Advanced Diploma",9276
K04000001,England and Wales,15,"Antarctica and Oceania, including Australasia",5,"Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",47466
K04000001,England and Wales,15,"Antarctica and Oceania, including Australasia",6,"Other: vocational or work-related qualifications, other qualifications achieved in England or Wales, qualifications achieved outside England or Wales (equivalent not stated or unknown)",2453
K04000001,England and Wales,16,British Overseas Territories,-8,Does not apply,151
K04000001,England and Wales,16,British Overseas Territories,0,No qualifications,89
K04000001,England and Wales,16,British Overseas Territories,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",67
K04000001,England and Wales,16,British Overseas Territories,2,"Level 2 qualifications: 5 or more GCSEs (A* to C or 9 to 4), O levels (passes), CSEs (grade 1), School Certification, 1 A level, 2 to 3 AS levels, VCEs, Intermediate or Higher Diploma, Welsh Baccalaureate Intermediate Diploma, NVQ level 2, Intermediate GNVQ, City and Guilds Craft, BTEC First or General Diploma, RSA Diploma",60
K04000001,England and Wales,16,British Overseas Territories,3,Apprenticeship,17
K04000001,England and Wales,16,British Overseas Territories,4,"Level 3 qualifications: 2 or more A levels or VCEs, 4 or more AS levels, Higher School Certificate, Progression or Advanced Diploma, Welsh Baccalaureate Advance Diploma, NVQ level 3; Advanced GNVQ, City and Guilds Advanced Craft, ONC, OND, BTEC National, RSA Advanced Diploma",49
K04000001,England and Wales,16,British Overseas Territories,5,"Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",146
K04000001,England and Wales,16,British Overseas Territories,6,"Other: vocational or work-related qualifications, other qualifications achieved in England or Wales, qualifications achieved outside England or Wales (equivalent not stated or unknown)",25
K04000001,England and Wales,17,No passport held,-8,Does not apply,2595419
K04000001,England and Wales,17,No passport held,0,No qualifications,2119661
K04000001,England and Wales,17,No passport held,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",682077
K04000001,England and Wales,17,No passport held,2,"Level 2 qualifications: 5 or more GCSEs (A* to C or 9 to 4), O levels (passes), CSEs (grade 1), School Certification, 1 A level, 2 to 3 AS levels, VCEs, Intermediate or Higher Diploma, Welsh Baccalaureate Intermediate Diploma, NVQ level 2, Intermediate GNVQ, City and Guilds Craft, BTEC First or General Diploma, RSA Diploma",672901
K04000001,England and Wales,17,No passport held,3,Apprenticeship,357996
K04000001,England and Wales,17,No passport held,4,"Level 3 qualifications: 2 or more A levels or VCEs, 4 or more AS levels, Higher School Certificate, Progression or Advanced Diploma, Welsh Baccalaureate Advance Diploma, NVQ level 3; Advanced GNVQ, City and Guilds Advanced Craft, ONC, OND, BTEC National, RSA Advanced Diploma",525101
K04000001,England and Wales,17,No passport held,5,"Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy)",613716
K04000001,England and Wales,17,No passport held,6,"Other: vocational or work-related qualifications, other qualifications achieved in England or Wales, qualifications achieved outside England or Wales (equivalent not stated or unknown)",177394
